,PUBMEDID,TITLE,AUTHORS,PUBICATION,PUBDATE,PUBYEAR
30,568868,Unusual type of neural muscular atrophy with a possible X-chromosomal inheritance pattern.,"Skre H, Mellgren SI, Bergsholm P, Slagsvold JE.",Acta Neurol Scand. 1978 Oct;58(4):249-60.,10/1/1978,1978
33,261997,"[Spinal and bulbar amyotrophy, blepharospasm, Parkinson's syndrome and hyperuricemia].","Mitrović Z, Jusić A.",Neurologija. 1979;27(1-4):111-6. Croatian.  No abstract available.,1/1/1979,1979
36,108363,"[Hereditary motor neuron disease: the proximal, adult, sex-linked form (or Kennedy disease). Clinical and neuroendocrinologic observations].","Schoenen J, Delwaide PJ, Legros JJ, Franchimont P.",J Neurol Sci. 1979 May;41(3):343-57. French.,5/1/1979,1979
39,7354373,Spinal muscular atrophy and hypertrophy of the calves.,"Bouwsma G, Van Wijngaarden GK.",J Neurol Sci. 1980 Jan;44(2-3):275-9.,1/1/1980,1980
42,7395454,Late onset spinal muscle atrophy--a sex linked variant of Kugelberg-Welander.,"Paulson GW, Liss L, Sweeney PJ.",Acta Neurol Scand. 1980 Jan;61(1):49-55.,1/1/1980,1980
45,7408329,[Clinical features of bulbar-spinal muscular atrophy (author's transl)].,Mukai E.,Rinsho Shinkeigaku. 1980 Apr;20(4):255-63. Japanese.  No abstract available.,4/1/1980,1980
48,7438629,[Associated signs and laboratory findings in bulbar spinal muscular atrophy in adult (author's transl)].,"Mukai E, Sobue I.",Rinsho Shinkeigaku. 1980 Aug;20(8):623-30. Japanese.  No abstract available.,8/1/1980,1980
51,7460432,[Endocrinological investigation in patients with progressive proximal spinal and bulbar muscular atrophy of late onset (Kennedy-Alter-Sung type) (author's transl)].,"Imai H, Beppu H, Uono M, Narabayashi H.",Rinsho Shinkeigaku. 1980 Sep;20(9):704-12. Japanese.  No abstract available.,9/1/1980,1980
54,7460431,[A case of subacute spinal muscular atrophy of facio-bulbo-scapulo-humeral type associated with unconjugated hyperbilirubinemia (author's transl)].,"Shinoda K, Konishi S, Masui T, Takenaka M, Mozai T.",Rinsho Shinkeigaku. 1980 Sep;20(9):697-703. Japanese.  No abstract available.,9/1/1980,1980
57,7308249,X-linked spinal and bulbar muscular atrophy of late onset (Kennedy-Stefanis disease?).,"Papapetropoulos T, Panayiotopoulos CP.",Eur Neurol. 1981;20(6):485-8.,1/1/1981,1981
60,6891550,Spinal and cranial motor nerve roots in amyotrophic lateral sclerosis and X-linked recessive bulbospinal muscular atrophy: morphometric and teased-fiber study.,"Sobue G, Matsuoka Y, Mukai E, Takayanagi T, Sobue I, Hashizume Y.",Acta Neuropathol. 1981;55(3):227-35.,1/1/1981,1981
63,7261507,[One autopsy case of bulbar-spinal muscular atrophy in adult males (author's transl)].,"Mukai E, Ishihara Y, Sobue G, Kaneshima H, Hirabayashi N.",Rinsho Shinkeigaku. 1981 Mar;21(3):228-33. Japanese.  No abstract available.,3/1/1981,1981
66,7296981,[Morphometric quantification of spinal and cranial nerve roots in amyotrophic lateral sclerosis and adult onset X-linked recessive bulbo-spinal muscular atrophy (author's transl)].,"Sobue G, Matsuoka Y, Mukai E, Takayanagi T, Sobue I.",Rinsho Shinkeigaku. 1981 Jun;21(6):506-16. Japanese.  No abstract available.,6/1/1981,1981
69,7196249,"[Morphometric analysis of oculomotor, trochlear and abducent nerve roots from amyotrophic lateral sclerosis and X-linked recessive bulbar spinal muscular atrophy (author's transl)].","Sobue G, Matsuoka Y, Mukai E, Murakami N, Sobue I.",No To Shinkei. 1981 Jun;33(3):611-5. Japanese.  No abstract available.,6/1/1981,1981
72,7332421,[Progressive bulbar paralysis in childhood with pyramidal signs (author's transl)].,"Boel M, de Cock P, Casteels-Van Daele M, Casaer P.",Arch Fr Pediatr. 1981 Dec;38(10):777-9. French.,12/1/1981,1981
75,6890751,Bulbo-spinal lower motor neuron disease. Accumulation of neurofilaments in perikarya and axons.,"Martin JJ, Mercelis R, Dua G, Moens E.",Acta Neurol Belg. 1982 Sep-Oct;82(5):262-9.,9/1/1982,1982
79,6890989,X-linked recessive bulbospinal neuronopathy: a report of ten cases.,"Harding AE, Thomas PK, Baraitser M, Bradbury PG, Morgan-Hughes JA, Ponsford JR.",J Neurol Neurosurg Psychiatry. 1982 Nov;45(11):1012-9.,11/1/1982,1982
82,6191009,X-linked adult form of spinal muscular atrophy.,"Hausmanowa-Petrusewicz I, Borkowska J, Janczewski Z.",J Neurol. 1983;229(3):175-88.,1/1/1983,1983
85,6683750,"A family with adult spinal and bulbar muscular atrophy, X-linked inheritance and associated testicular failure.","Arbizu T, Santamaría J, Gomez JM, Quílez A, Serra JP.",J Neurol Sci. 1983 Jun;59(3):371-82.,6/1/1983,1983
88,6661866,[Case of unusual myopathy associated with diabetes and gynecomastia and simulating spinal muscular atrophy of the Kennedy-Alter-Sung type].,"Shiokawa T, Nagashima T, Hirose K, Uono M, Tsubaki T.",Rinsho Shinkeigaku. 1983 Aug;23(8):639-45. Japanese.  No abstract available.,8/1/1983,1983
91,6721595,[Familial male hypogonadism in spinal and bulbar muscular atrophy of late onset (Kennedy's disease). A new cause of hypogonadism].,"Gómez JM, Arbizu T, Santamaría J, Quilez A, Soler J, Peres J.",Arch Esp Urol. 1984 Jan-Feb;37(1):49-55. Spanish.  No abstract available.,1/1/1984,1984
94,6543025,[Sex-linked familial form of progressive spinal amyotrophy in adults].,"Schanen A, Mikol J, Guiziou C, Vital C, Coquet M, Lagueny A, Julien J, Haguenau M.",Rev Neurol (Paris). 1984;140(12):720-7. French.,1/1/1984,1984
97,6467737,[Three cases of bulbar and spinal muscular atrophy in a family--comparative studies of clinical features and histological findings of the testis].,"Nagashima M, Yuasa T, Ohno T, Emura I, Sasaki Y.",Rinsho Shinkeigaku. 1984 Jan;24(1):50-5. Japanese.  No abstract available.,1/1/1984,1984
100,6326279,[Chronic X-linked recessive bulbospinal amyotrophy (Kennedy-Stefanis type). Apropos of a case].,"Serratrice G, Guastalla P.",Sem Hop. 1984 Mar 29;60(14):1003-5. French.,3/29/1984,1984
103,6478709,[Two cases of progressive bulbospinal muscular atrophy of sex-linked recessive trait (Kennedy-Alter-Sung) with type IV hyperlipoproteinemia and fatty liver].,"Yamamoto R, Shimada T, Takenaka M, Konishi S, Mozai T.",Rinsho Shinkeigaku. 1984 May;24(5):441-6. Japanese.  No abstract available.,5/1/1984,1984
106,6491450,"[Bulbospinal muscular atrophy with endocrinological abnormalities (Kennedy-Alter-Sung syndrome), with special reference to hypothalamo-pituitary dysfunction].","Kitamoto T, Kakigi R, Kuroda Y, Shibasaki H, Nawata H.",Nihon Naika Gakkai Zasshi. 1984 Jun;73(6):831-7. Japanese.  No abstract available.,6/1/1984,1984
109,6440726,[Endocrinological study of hypogonadism and feminization in patients with bulbar spinal muscular atrophy].,"Mukai E, Mitsuma T, Takahashi A, Sobue I.",Rinsho Shinkeigaku. 1984 Sep;24(9):925-9. Japanese.  No abstract available.,9/1/1984,1984
112,4039714,X-linked bulbo-spinal neuronopathy of late onset: sporadic case.,"Fabbri R, Martinelli P.",Ital J Neurol Sci. 1985 Mar;6(1):113-4.,3/1/1985,1985
115,4040692,X-linked bulbo-spinal neuronopathy of late onset.,"Martinelli P, Fabbri R, Gabellini AS, Govoni E, Lugaresi E.",Acta Neurol Scand. 1985 Jun;71(6):498-503.,6/1/1985,1985
118,3699069,Kennedy disease in an Italian kindred.,"Guidetti D, Motti L, Marcello N, Vescovini E, Marbini A, Dotti C, Lucci B, Solimè F.",Eur Neurol. 1986;25(3):188-96.,1/1/1986,1986
121,3701365,Clinical-anatomic study of a family with bulbo-spinal muscular atrophy in adults.,"Schiffer D, Brignolio F, Chio A, Giordana MT, Migheli A.",J Neurol Sci. 1986 Mar;73(1):11-22.,3/1/1986,1986
124,3493870,[A pedigree with protanopia and bulbar spinal muscular atrophy].,"Mukai E, Yasuma T.",Rinsho Shinkeigaku. 1986 Nov;26(11):1203-5. Japanese.  No abstract available.,11/1/1986,1986
127,3466055,Localization of the gene for X-linked spinal muscular atrophy.,"Fischbeck KH, Ionasescu V, Ritter AW, Ionasescu R, Davies K, Ball S, Bosch P, Burns T, Hausmanowa-Petrusewicz I, Borkowska J, et al.",Neurology. 1986 Dec;36(12):1595-8.,12/1/1986,1986
130,3434053,[Late progressive recessive X-linked proximal spinal and bulbar amyotrophy].,"Badalian LO, Temin PA, Zavadenko NN, Arkhipov BA, Kamennykh LN.",Zh Nevropatol Psikhiatr Im S S Korsakova. 1987;87(11):1606-9. Russian.,1/1/1987,1987
133,3432850,[Familial distal progressive spinal amyotrophy with asymmetry of the lower limbs].,"Nedelec C, Dubas F, Truelle JL, Pouplard F, Delestre F, Penisson-Besnier I.",Rev Neurol (Paris). 1987;143(11):765-7. French.,1/1/1987,1987
136,2950466,[Neuroendocrine syndrome: pseudomyopathic spinal amyotrophy with gynecomastia related to the X chromosome. Kennedy's syndrome. 3 cases].,"Serratrice G, Pellissier JF, Pouget J, Saint-Jean JC.",Presse Med. 1987 Feb 21;16(6):299-302. French.,2/21/1987,1987
140,3031222,X-linked bulbo-spinal neuronopathy: a family study of three patients.,"Wilde J, Moss T, Thrush D.",J Neurol Neurosurg Psychiatry. 1987 Mar;50(3):279-84.,3/1/1987,1987
143,3497754,[A family study of the association between X-linked bulbospinal muscular atrophy (Kennedy-Alter-Sung type) and color blindness protan].,"Sonoo M, Goto J, Shimizu T, Mannen T.",Rinsho Shinkeigaku. 1987 May;27(5):613-6. Japanese.  No abstract available.,5/1/1987,1987
146,3587620,A pedigree with protanopia and bulbospinal muscular atrophy.,"Mukai E, Yasuma T.",Neurology. 1987 Jun;37(6):1019-21.,6/1/1987,1987
149,3231965,[X-linked bulbo-spinal neuronopathy. Kennedy's syndrome].,"Serratrice G, Pellissier JF, Pouget J.",Rev Neurol (Paris). 1988;144(11):756-8. French.,1/1/1988,1988
152,3223147,[Spinal muscular atrophy in adults].,"Mozolevskiĭ IuV, Sokolina NA, Dubanova EA.",Zh Nevropatol Psikhiatr Im S S Korsakova. 1988;88(11):10-4. Russian.,1/1/1988,1988
155,3231964,[Familial form of bulbo-spinal amyotrophy in the adult].,"Mikol J, Bourdarias H, Dellanave J, Perie G.",Rev Neurol (Paris). 1988;144(11):748-55. French.,1/1/1988,1988
158,3254675,Bulbar and spinal muscular atrophy of late onset. A sporadic (?) case.,"Gemignani F, Marbini A, Pavesi G, Marchini M, Fiocchi E.",Acta Neurol (Napoli). 1988 Feb;10(1 |||||||||||||):1-6. No abstract available.,2/1/1988,1988
161,3233842,[Familial bulbo-spinal muscular atrophy with sensory involvement--morphological studies of biopsied sural nerve in two patients].,"Saito T, Miyata K, Hosoda M, Torii J, Kowa H.",Rinsho Shinkeigaku. 1988 Jun;28(6):695-704. Japanese.  No abstract available.,6/1/1988,1988
164,3064949,[An autopsy case of X-linked recessive bulbar-spinal muscular atrophy].,"Hirayama M, Hashizume Y, Takagi T, Higo H, Ito M.",Rinsho Shinkeigaku. 1988 Oct;28(10):1131-6. Review. Japanese.  No abstract available.,10/1/1988,1988
167,3210030,Familial bulbo-spinal muscular atrophy associated with testicular atrophy and sensory neuropathy (Kennedy-Alter-Sung syndrome). Autopsy case report of two brothers.,"Nagashima T, Seko K, Hirose K, Mannen T, Yoshimura S, Arima R, Nagashima K, Morimatsu Y.",J Neurol Sci. 1988 Nov;87(2-3):141-52.,11/1/1988,1988
170,2728735,[X chromosome-linked bulbospinal neuronopathy in adults].,Mozolevskiĭ IuV.,Zh Nevropatol Psikhiatr Im S S Korsakova. 1989;89(3):121-3. Russian.,1/1/1989,1989
173,2633568,[Familial case of late recessive X-linked Kennedy's spinal and bulbar amyotrophy].,"Badalian LO, Temin PA, Arkhipov BA, Zavadenko NN, Bulaeva NV, Lysov VL.",Zh Nevropatol Psikhiatr Im S S Korsakova. 1989;89(12):39-44. Russian.,1/1/1989,1989
176,2917278,X-linked recessive bulbospinal neuronopathy. A clinicopathological study.,"Sobue G, Hashizume Y, Mukai E, Hirayama M, Mitsuma T, Takahashi A.",Brain. 1989 Feb;112 ( Pt 1):209-32.,2/1/1989,1989
179,2500144,[A case of Kennedy-Alter-Sung syndrome associated with external ophthalmoplegia--therapeutic efficacy of fluoxymesterone].,"Harada T, Ishizaki F, Yamamura Y, Tokunaga J, Kito S.",No To Shinkei. 1989 Feb;41(2):143-8. Japanese.,2/1/1989,1989
182,2926448,Hyperestrogenemia in neuromuscular diseases.,"Usuki F, Nakazato O, Osame M, Igata A.",J Neurol Sci. 1989 Feb;89(2-3):189-97.,2/1/1989,1989
185,2752668,"[A case presenting manifestations of bulbospinal muscular atrophy with senile onset, rapid progression and marked asymmetry].","Imai T, Kaneshige Y, Sasaki K, Chiba S, Matsumoto H.",Rinsho Shinkeigaku. 1989 Mar;29(3):379-81. Japanese.,3/1/1989,1989
188,2612097,[Muscle fiber type abnormalities in bulbospinal muscular atrophy. Comparison with amyotrophic lateral sclerosis].,"Kojima S, Takagi A, Ida M, Nozawa T, Shiozawa R.",Rinsho Shinkeigaku. 1989 Apr;29(4):427-31. Japanese.,4/1/1989,1989
191,2542754,[Sensory nerve involvement in X-linked bulbospinal amyotrophy (Kennedy syndrome). Contributions of electrophysiologic and histologic data].,"Penisson-Besnier I, Dubas F, Delestre F, Emile J.",Neurophysiol Clin. 1989 May;19(2):163-70. French.,5/1/1989,1989
194,2637956,[Changes in the neural conduction in spinal muscular atrophy of the Kennedy type].,"Ryniewicz B, Hausmanowa-Petrusewicz I.",Neurol Neurochir Pol. 1989 Jul-Dec;23(4-6):283-6. Polish.,7/1/1989,1989
197,2513155,[Analysis of oculomotor disorders in motor neuron disease].,"Saito S, Yamamoto H.",Rinsho Shinkeigaku. 1989 Aug;29(8):969-75. Japanese.,8/1/1989,1989
201,2795083,Sandhoff disease mimicking adult-onset bulbospinal neuronopathy.,"Thomas PK, Young E, King RH.",J Neurol Neurosurg Psychiatry. 1989 Sep;52(9):1103-6.,9/1/1989,1989
204,2562713,[Chromosome X-linked recessive bulbospinal neuronopathy (Kennedy's syndrome)].,"Mauri Llerda JA, Jiménez Escrig A, del Villar Sordo V.",An Med Interna. 1989 Nov;6(11):608-9. Spanish.  No abstract available.,11/1/1989,1989
207,2625018,[Loss of spinal anterior horn cells in X-linked recessive bulbospinal muscular atrophy--a morphometric study of lower motoneuron loss].,"Terao S, Sobue G, Takeda A, Mitsuma T, Takahashi A.",Rinsho Shinkeigaku. 1989 Nov;29(11):1338-44. Japanese.,11/1/1989,1989
210,2111074,Phosphorylated high molecular weight neurofilament protein in lower motor neurons in amyotrophic lateral sclerosis and other neurodegenerative diseases involving ventral horn cells.,"Sobue G, Hashizume Y, Yasuda T, Mukai E, Kumagai T, Mitsuma T, Trojanowski JQ.",Acta Neuropathol. 1990;79(4):402-8.,1/1/1990,1990
213,2225663,[MRI findings of the tongue in neurodegenerative diseases with bulbar sign].,"Konagaya M, Konagaya Y, Konishi T, Mano Y.",Rinsho Shinkeigaku. 1990 Jun;30(6):665-7. Japanese.,6/1/1990,1990
216,2253416,[Computed tomographic analyses on skeletal muscles in bulbar spinal muscular atrophy].,"Koga H, Yamamoto H, Sahashi K, Ibi T, Mori K.",Rinsho Shinkeigaku. 1990 Aug;30(8):828-34. Japanese.,8/1/1990,1990
219,2151603,"[Progressive familial myoclonic epilepsy with bulbo-spinal amyotrophy. Clinical, electrophysiological study, and biopsy of a case].","Taglioli M, Bartolini S, Volpi G, Alberti G, Ambrosetto G.",Riv Neurol. 1990 Sep-Oct;60(5):201-6. Italian.,9/1/1990,1990
222,2222245,X-linked spinal muscular atrophy (Kennedy's syndrome). A kindred with hypobetalipoproteinemia.,"Warner CL, Servidei S, Lange DJ, Miller E, Lovelace RE, Rowland LP.",Arch Neurol. 1990 Oct;47(10):1117-20.,10/1/1990,1990
225,1963731,A case of bulbospinal muscular atrophy with chief complaint of sensory disorder in the lower extremities.,"Kuroda S, Ujike H, Nakashima S, Otsuki S.",Acta Med Okayama. 1990 Dec;44(6):325-8.,12/1/1990,1990
228,1895014,A sporadic case of bulbospinal muscular atrophy of late onset.,"Takayama H, Ichiki K, Oishi T, Suga Y, Kuroda S, Ogawa N.",J Med. 1991;22(2):123-30.,1/1/1991,1991
231,1853757,A candidate gene for X-linked spinal muscular atrophy.,"Fischbeck KH, Souders D, La Spada A.",Adv Neurol. 1991;56:209-13. No abstract available.,1/1/1991,1991
234,1893668,[A case of Kennedy-Alter-Sung syndrome with type IIa hyperlipidemia--study on sex hormone receptor and lipid metabolism].,"Matsuura T, Aimoto Y, Moriwaka F, Tashiro K, Nonomura K.",Rinsho Shinkeigaku. 1991 Mar;31(3):291-5. Japanese.,3/1/1991,1991
237,2046924,Clinical and electrodiagnostic features of X-linked recessive bulbospinal neuronopathy.,"Olney RK, Aminoff MJ, So YT.",Neurology. 1991 Jun;41(6):823-8.,6/1/1991,1991
240,1947435,Serum manganese-superoxide dismutase in patients with neuromuscular disorders as judged by an ELISA.,"Yahara O, Hashimoto K, Taniguchi N, Ishikawa M, Sato Y, Yamashita H, Ohno H.",Res Commun Chem Pathol Pharmacol. 1991 Jun;72(3):315-26.,6/1/1991,1991
243,2062380,Androgen receptor gene mutations in X-linked spinal and bulbar muscular atrophy.,"La Spada AR, Wilson EM, Lubahn DB, Harding AE, Fischbeck KH.",Nature. 1991 Jul 4;352(6330):77-9.,7/4/1991,1991
246,1797540,Electrophysiological characterization of the X-linked recessive bulbospinal neuronopathy (XRBSN).,"Hefter H, Heidenreich F, Benecke R.",Electromyogr Clin Neurophysiol. 1991 Dec;31(8):451-60.,12/1/1991,1991
249,1423334,Androgen receptor mutants that affect normal growth and development.,"Brinkmann AO, Trapman J.",Cancer Surv. 1992;14:95-111. Review.,1/1/1992,1992
252,1301924,Myotonic dystrophy: another case of too many repeats?,"Shelbourne P, Johnson K.",Hum Mutat. 1992;1(3):183-9. Review.,1/1/1992,1992
255,1734865,A novel primer extension method to detect the number of CAG repeats in the androgen receptor gene in families with X-linked spinal and bulbar muscular atrophy.,"Yamamoto Y, Kawai H, Nakahara K, Osame M, Nakatsuji Y, Kishimoto T, Sakoda S.",Biochem Biophys Res Commun. 1992 Jan 31;182(2):507-13.,1/31/1992,1992
258,1628462,[DNA diagnosis of X-linked recessive bulbospinal muscular atrophy by androgen receptor gene mutations].,"Doyu M, Sobue G, Mukai E, Takahashi A, Mitsuma T.",Rinsho Shinkeigaku. 1992 Mar;32(3):336-9. Japanese.,3/1/1992,1992
262,1318357,Central motor and sensory conduction in X-linked recessive bulbospinal neuronopathy.,"Kachi T, Sobue G, Sobue I.",J Neurol Neurosurg Psychiatry. 1992 May;55(5):394-7.,5/1/1992,1992
265,1589758,Triplet repeat mutations in human disease.,"Caskey CT, Pizzuti A, Fu YH, Fenwick RG Jr, Nelson DL.",Science. 1992 May 8;256(5058):784-9. Review.,5/18/1992,1992
268,1487685,X-linked recessive bulbospinal neuronopathy.,Phanthumchinda K.,J Med Assoc Thai. 1992 Jun;75(6):369-73.,6/1/1992,1992
271,1530714,Bulbospinal neuronopathy.,"Schoenen J, Delwaide PJ, Legros JJ, Franchimont P.",Neurology. 1992 Jun;42(6):1252-3. No abstract available.,6/1/1992,1992
274,1303195,Moderate instability of the trinucleotide repeat in spino bulbar muscular atrophy.,"Biancalana V, Serville F, Pommier J, Julien J, Hanauer A, Mandel JL.",Hum Mol Genet. 1992 Jul;1(4):255-8.,7/1/1992,1992
277,1513460,Androgen receptor abnormality in X-linked spinal and bulbar muscular atrophy.,"Matsuura T, Demura T, Aimoto Y, Mizuno T, Moriwaka F, Tashiro K.",Neurology. 1992 Sep;42(9):1724-6.,9/1/1992,1992
280,1300263,[A mother and her son with autosomal dominant bulbar spinal muscular atrophy].,"Ibi T, Suoh H, Igarashi S, Tsuji S, Sahashi K.",Rinsho Shinkeigaku. 1992 Sep;32(9):1038-40. Japanese.,9/1/1992,1992
283,1469423,Analysis of the CAG repeat region of the androgen receptor gene in a kindred with X-linked spinal and bulbar muscular atrophy.,"Belsham DD, Yee WC, Greenberg CR, Wrogemann K.",J Neurol Sci. 1992 Oct;112(1-2):133-8.,10/1/1992,1992
286,1392132,Molecular genetics and clinical aspects of inherited disorders of nerve and muscle.,Harding AE.,Curr Opin Neurol Neurosurg. 1992 Oct;5(5):600-4. Review.,10/1/1992,1992
289,1436532,X-linked spinomuscular atrophy: a kindred with associated abnormal androgen receptor binding.,"Warner CL, Griffin JE, Wilson JD, Jacobs LD, Murray KR, Fischbeck KH, Dickoff D, Griggs RC.",Neurology. 1992 Nov;42(11):2181-4.,11/1/1992,1992
292,1345166,Human genes containing polymorphic trinucleotide repeats.,"Riggins GJ, Lokey LK, Chastain JL, Leiner HA, Sherman SL, Wilkinson KD, Warren ST.",Nat Genet. 1992 Nov;2(3):186-91. Erratum in: Nat Genet 1993 Mar;3(3):273.,11/1/1992,1992
295,1449253,Severity of X-linked recessive bulbospinal neuronopathy correlates with size of the tandem CAG repeat in androgen receptor gene.,"Doyu M, Sobue G, Mukai E, Kachi T, Yasuda T, Mitsuma T, Takahashi A.",Ann Neurol. 1992 Nov;32(5):707-10.,11/1/1992,1992
298,1303283,Meiotic stability and genotype-phenotype correlation of the trinucleotide repeat in X-linked spinal and bulbar muscular atrophy.,"La Spada AR, Roling DB, Harding AE, Warner CL, Spiegel R, Hausmanowa-Petrusewicz I, Yee WC, Fischbeck KH.",Nat Genet. 1992 Dec;2(4):301-4.,12/1/1992,1992
301,1461383,Strong correlation between the number of CAG repeats in androgen receptor genes and the clinical onset of features of spinal and bulbar muscular atrophy.,"Igarashi S, Tanno Y, Onodera O, Yamazaki M, Sato S, Ishikawa A, Miyatani N, Nagashima M, Ishikawa Y, Sahashi K, et al.",Neurology. 1992 Dec;42(12):2300-2.,12/1/1992,1992
304,1369117,"DNA structure, mutations, and human genetic disease.","Sinden RR, Wells RD.",Curr Opin Biotechnol. 1992 Dec;3(6):612-22. Review.,12/1/1992,1992
307,7712629,Kennedy's disease: clinical presentation and laboratory diagnosis.,"Faragher MW, Choi WT, MacLean HE, Warne GL, Zajac JD.",Clin Exp Neurol. 1993;30:61-5.,1/1/1993,1993
310,8048316,[A familial case of Kennedy's X-linked bulbospinal amyotrophy].,"Muradian GT, Tunian IuS, Khachunts AS, Samvelian KG.",Zh Nevrol Psikhiatr Im S S Korsakova. 1993;93(2):84-6. Russian.,1/1/1993,1993
313,8424313,X-linked bulbospinal muscular atrophy (Kennedy's syndrome): a report of three cases.,"Ertekin C, Sirin H.",Acta Neurol Scand. 1993 Jan;87(1):56-61.,1/1/1993,1993
316,8429429,Molecular genetic advances in fragile X syndrome.,"Tarleton JC, Saul RA.",J Pediatr. 1993 Feb;122(2):169-85. Review.,2/1/1993,1993
319,8458085,A novel gene containing a trinucleotide repeat that is expanded and unstable on Huntington's disease chromosomes. The Huntington's Disease Collaborative Research Group.,[No authors listed],Cell. 1993 Mar 26;72(6):971-83.,3/26/1993,1993
321,8469342,Kennedy's disease: a clinicopathologic correlation with mutations in the androgen receptor gene.,"Amato AA, Prior TW, Barohn RJ, Snyder P, Papp A, Mendell JR.",Neurology. 1993 Apr;43(4):791-4.,4/1/1993,1993
324,8517843,Kennedy's disease: genetic diagnosis of an inherited form of motor neuron disease.,"Choi WT, MacLean HE, Chu S, Warne GL, Zajac JD.",Aust N Z J Med. 1993 Apr;23(2):187-92.,4/1/1993,1993
327,8400860,Androgen receptor gene polymorphisms in amyotrophic lateral sclerosis.,"Garofalo O, Figlewicz DA, Leigh PN, Powell JF, Meininger V, Dib M, Rouleau GA.",Neuromuscul Disord. 1993 May;3(3):195-9.,5/1/1993,1993
330,8365057,[A case of X-linked recessive bulbospinal muscular atrophy with demyelinating neuropathy and hypertrophy of the calves].,"Saito T, Matsuoka M, Masaki K, Torii J, Kowa H.",Rinsho Shinkeigaku. 1993 May;33(5):514-8. Japanese.,5/1/1993,1993
334,8503450,"""Cryptic"" repeating triplets of purines and pyrimidines (cRRY(i)) are frequent and polymorphic: analysis of coding cRRY(i) in the proopiomelanocortin (POMC) and TATA-binding protein (TBP) genes.","Gostout B, Liu Q, Sommer SS.",Am J Hum Genet. 1993 Jun;52(6):1182-90.,6/1/1993,1993
337,8498841,The Golgi apparatus of motor neurons in amyotrophic lateral sclerosis.,"Mourelatos Z, Yachnis A, Rorke L, Mikol J, Gonatas NK.",Ann Neurol. 1993 Jun;33(6):608-15.,6/1/1993,1993
340,7689767,Genes with triplet repeats: candidate mediators of neuropsychiatric disorders.,"Ross CA, McInnis MG, Margolis RL, Li SH.",Trends Neurosci. 1993 Jul;16(7):254-60. Review.,7/1/1993,1993
343,8398387,[The distribution of androgen receptor like protein in the central nervous system of rat and human medulla and spinal cord--immunohistochemical study].,"Waragai M, Yamada T, Moroo I.",No To Shinkei. 1993 Jul;45(7):661-7. Japanese.,7/1/1993,1993
347,8331366,Very late onset X-linked recessive bulbospinal neuronopathy: mild clinical features and a mild increase in the size of tandem CAG repeat in androgen receptor gene.,"Doyu M, Sobue G, Mitsuma T, Uchida M, Iwase T, Takahashi A.",J Neurol Neurosurg Psychiatry. 1993 Jul;56(7):832-3. No abstract available.,7/1/1993,1993
